"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",8.16447244433871,"Asian"
"2",1,2020,"Alaska",4.542377697,"Asian"
"3",1,2020,"Arizona",12.2335830695833,"Asian"
"4",1,2020,"Arkansas",8.30343454764286,"Asian"
"5",1,2020,"California",14.2108678478,"Asian"
"6",1,2020,"Colorado",3.901679541,"Asian"
"7",1,2020,"Connecticut",15.6216035898,"Asian"
"8",1,2020,"Delaware",22.74237637,"Asian"
"9",1,2020,"District of Columbia",18.720131002,"Asian"
"10",1,2020,"Florida",12.7707510467073,"Asian"
"11",1,2020,"Georgia",8.76872544817073,"Asian"
"12",1,2020,"Hawaii",3.283499413,"Asian"
"13",1,2020,"Idaho",3.60551145783333,"Asian"
"14",1,2020,"Illinois",18.289117549,"Asian"
"15",1,2020,"Indiana",13.1447133839118,"Asian"
"16",1,2020,"Iowa",7.95298806975,"Asian"
"17",1,2020,"Kansas",8.03551358010526,"Asian"
"18",1,2020,"Kentucky",9.2433219102807,"Asian"
"19",1,2020,"Louisiana",11.4665091402059,"Asian"
"20",1,2020,"Maine",5.041282695,"Asian"
"21",1,2020,"Maryland",14.27802357975,"Asian"
"22",1,2020,"Massachusetts",21.667706563,"Asian"
"23",1,2020,"Michigan",14.9590750858784,"Asian"
"24",1,2020,"Minnesota",6.22053196017647,"Asian"
"25",1,2020,"Mississippi",7.20848798232432,"Asian"
"26",1,2020,"Missouri",10.5819705941905,"Asian"
"27",1,2020,"Montana",4.74023155633333,"Asian"
"28",1,2020,"Nebraska",7.47308540281481,"Asian"
"29",1,2020,"New Hampshire",4.53188971,"Asian"
"30",1,2020,"New Jersey",17.7946520037273,"Asian"
"31",1,2020,"New Mexico",5.70297472276923,"Asian"
"32",1,2020,"New York",13.4316250312424,"Asian"
"33",1,2020,"North Carolina",6.79150252372973,"Asian"
"34",1,2020,"North Dakota",7.91907459385714,"Asian"
"35",1,2020,"Ohio",14.6787299762958,"Asian"
"36",1,2020,"Oklahoma",8.7756138699697,"Asian"
"37",1,2020,"Oregon",3.609943469,"Asian"
"38",1,2020,"Pennsylvania",9.44548836268,"Asian"
"39",1,2020,"South Carolina",6.06743899274419,"Asian"
"40",1,2020,"South Dakota",9.02578264442857,"Asian"
"41",1,2020,"Tennessee",11.1610121512973,"Asian"
"42",1,2020,"Texas",13.7445320321651,"Asian"
"43",1,2020,"Utah",12.0141236104,"Asian"
"44",1,2020,"Vermont",7.543127712,"Asian"
"45",1,2020,"Virginia",8.09766733475862,"Asian"
"46",1,2020,"Washington",11.093150066,"Asian"
"47",1,2020,"West Virginia",6.98547431303846,"Asian"
"48",1,2020,"Wisconsin",7.71598996027273,"Asian"
"49",1,2020,"Wyoming",6.4119961286,"Asian"
"50",2,2020,"Alabama",7.5209286150303,"Asian"
"51",2,2020,"Alaska",0.626636193,"Asian"
"52",2,2020,"Arizona",8.792923099,"Asian"
"53",2,2020,"Arkansas",8.60795608744,"Asian"
"54",2,2020,"California",18.6018428828571,"Asian"
"55",2,2020,"Colorado",6.487937455,"Asian"
"56",2,2020,"Connecticut",12.3575511923333,"Asian"
"57",2,2020,"District of Columbia",19.2689513575,"Asian"
"58",2,2020,"Florida",11.9690433139375,"Asian"
"59",2,2020,"Georgia",8.11472704125582,"Asian"
"60",2,2020,"Idaho",5.76923957577778,"Asian"
"61",2,2020,"Illinois",18.0582174200149,"Asian"
"62",2,2020,"Indiana",13.7161979243158,"Asian"
"63",2,2020,"Iowa",8.63045735846154,"Asian"
"64",2,2020,"Kansas",8.08333600314286,"Asian"
"65",2,2020,"Kentucky",9.39180414807463,"Asian"
"66",2,2020,"Louisiana",9.96218745148214,"Asian"
"67",2,2020,"Maine",5.78611954033333,"Asian"
"68",2,2020,"Maryland",15.9836366904,"Asian"
"69",2,2020,"Massachusetts",11.7603508521667,"Asian"
"70",2,2020,"Michigan",13.400100454875,"Asian"
"71",2,2020,"Minnesota",8.30530502425,"Asian"
"72",2,2020,"Mississippi",7.32555097432075,"Asian"
"73",2,2020,"Missouri",9.69084020468627,"Asian"
"74",2,2020,"Montana",3.51720120230769,"Asian"
"75",2,2020,"Nebraska",9.3857350453,"Asian"
"76",2,2020,"Nevada",4.17719497175,"Asian"
"77",2,2020,"New Hampshire",11.2182677605,"Asian"
"78",2,2020,"New Jersey",20.9184962105556,"Asian"
"79",2,2020,"New Mexico",10.4538543202,"Asian"
"80",2,2020,"New York",10.9621180830952,"Asian"
"81",2,2020,"North Carolina",6.63220361350943,"Asian"
"82",2,2020,"North Dakota",6.9164632837,"Asian"
"83",2,2020,"Ohio",15.1420513666395,"Asian"
"84",2,2020,"Oklahoma",7.35677299982857,"Asian"
"85",2,2020,"Oregon",5.36814163525,"Asian"
"86",2,2020,"Pennsylvania",9.5732903959322,"Asian"
"87",2,2020,"South Carolina",6.80255631911538,"Asian"
"88",2,2020,"South Dakota",7.17784359185714,"Asian"
"89",2,2020,"Tennessee",10.475421246561,"Asian"
"90",2,2020,"Texas",13.3157571664811,"Asian"
"91",2,2020,"Utah",5.9465224295,"Asian"
"92",2,2020,"Vermont",7.68183769983333,"Asian"
"93",2,2020,"Virginia",7.47523294636,"Asian"
"94",2,2020,"Washington",5.4201993274,"Asian"
"95",2,2020,"West Virginia",6.66647647713636,"Asian"
"96",2,2020,"Wisconsin",10.520730861,"Asian"
"97",2,2020,"Wyoming",7.34993074,"Asian"
"98",3,2020,"Alabama",7.18697206538462,"Asian"
"99",3,2020,"Alaska",0.503885191,"Asian"
