"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",7.6141806728,"Black"
"2",1,2020,"Alaska",0.466607350142857,"Black"
"3",1,2020,"Arizona",9.6900471336,"Black"
"4",1,2020,"Arkansas",5.15857133357143,"Black"
"5",1,2020,"California",11.8959040215,"Black"
"6",1,2020,"Colorado",6.4014826561875,"Black"
"7",1,2020,"Delaware",9.460653495,"Black"
"8",1,2020,"Florida",9.03691378816667,"Black"
"9",1,2020,"Georgia",4.33849304533333,"Black"
"10",1,2020,"Hawaii",3.895935316,"Black"
"11",1,2020,"Idaho",6.18238718585,"Black"
"12",1,2020,"Illinois",9.73603054515,"Black"
"13",1,2020,"Indiana",10.31048739665,"Black"
"14",1,2020,"Iowa",7.67853955541667,"Black"
"15",1,2020,"Kansas",6.26575106871429,"Black"
"16",1,2020,"Kentucky",7.37727822651613,"Black"
"17",1,2020,"Louisiana",4.283762387,"Black"
"18",1,2020,"Maine",4.42309170825,"Black"
"19",1,2020,"Maryland",16.79574412,"Black"
"20",1,2020,"Massachusetts",13.039342681,"Black"
"21",1,2020,"Michigan",6.53178151863889,"Black"
"22",1,2020,"Minnesota",7.199904388625,"Black"
"23",1,2020,"Missouri",6.13067038055556,"Black"
"24",1,2020,"Montana",4.30271693095238,"Black"
"25",1,2020,"Nebraska",7.88720135058333,"Black"
"26",1,2020,"Nevada",9.903283439,"Black"
"27",1,2020,"New Hampshire",7.3088529786,"Black"
"28",1,2020,"New Jersey",14.8069865566,"Black"
"29",1,2020,"New Mexico",4.61623543227273,"Black"
"30",1,2020,"New York",9.79510402971429,"Black"
"31",1,2020,"North Carolina",6.703761578,"Black"
"32",1,2020,"North Dakota",8.78001726,"Black"
"33",1,2020,"Ohio",10.9906568885909,"Black"
"34",1,2020,"Oklahoma",8.19404235311111,"Black"
"35",1,2020,"Oregon",5.21095613273333,"Black"
"36",1,2020,"Pennsylvania",8.52491226592,"Black"
"37",1,2020,"South Carolina",8.45658802325,"Black"
"38",1,2020,"South Dakota",6.9259817304,"Black"
"39",1,2020,"Tennessee",6.93231324688235,"Black"
"40",1,2020,"Texas",14.0574506511224,"Black"
"41",1,2020,"Utah",7.92017888390909,"Black"
"42",1,2020,"Vermont",5.34849866075,"Black"
"43",1,2020,"Virginia",5.3084516226,"Black"
"44",1,2020,"Washington",7.89073103866667,"Black"
"45",1,2020,"West Virginia",5.72100206781818,"Black"
"46",1,2020,"Wisconsin",8.67206256352174,"Black"
"47",1,2020,"Wyoming",4.12773507266667,"Black"
"48",2,2020,"Alabama",5.007235785,"Black"
"49",2,2020,"Alaska",1.131301853,"Black"
"50",2,2020,"Arizona",8.3381186167,"Black"
"51",2,2020,"Arkansas",6.11471505125,"Black"
"52",2,2020,"California",10.4900077798649,"Black"
"53",2,2020,"Colorado",9.50147215985714,"Black"
"54",2,2020,"Connecticut",6.36388284466667,"Black"
"55",2,2020,"Delaware",7.04790678,"Black"
"56",2,2020,"Florida",15.8768800488235,"Black"
"57",2,2020,"Georgia",5.48554028825,"Black"
"58",2,2020,"Hawaii",1.85871081625,"Black"
"59",2,2020,"Idaho",6.91985852407143,"Black"
"60",2,2020,"Illinois",10.122880768,"Black"
"61",2,2020,"Indiana",9.51381620073913,"Black"
"62",2,2020,"Iowa",8.68322898003333,"Black"
"63",2,2020,"Kansas",6.15677633086667,"Black"
"64",2,2020,"Kentucky",6.98806446256667,"Black"
"65",2,2020,"Louisiana",5.409682982,"Black"
"66",2,2020,"Maine",5.58464971,"Black"
"67",2,2020,"Massachusetts",12.75423059675,"Black"
"68",2,2020,"Michigan",6.20897466578723,"Black"
"69",2,2020,"Minnesota",7.000529704,"Black"
"70",2,2020,"Missouri",5.65743208709091,"Black"
"71",2,2020,"Montana",6.64949200990476,"Black"
"72",2,2020,"Nebraska",8.399905205375,"Black"
"73",2,2020,"Nevada",6.4603222074,"Black"
"74",2,2020,"New Hampshire",7.19628658225,"Black"
"75",2,2020,"New Jersey",10.4005863291818,"Black"
"76",2,2020,"New Mexico",12.4871030231111,"Black"
"77",2,2020,"New York",10.4757808305417,"Black"
"78",2,2020,"North Carolina",5.702319348,"Black"
"79",2,2020,"North Dakota",7.10273953715385,"Black"
"80",2,2020,"Ohio",10.0524452953,"Black"
"81",2,2020,"Oklahoma",8.06993198963636,"Black"
"82",2,2020,"Oregon",5.05537127226667,"Black"
"83",2,2020,"Pennsylvania",7.47628776533333,"Black"
"84",2,2020,"South Dakota",5.57698602133333,"Black"
"85",2,2020,"Tennessee",7.18556095525,"Black"
"86",2,2020,"Texas",12.3951554830741,"Black"
"87",2,2020,"Utah",9.71463598,"Black"
"88",2,2020,"Vermont",5.537538809,"Black"
"89",2,2020,"Virginia",5.56690978,"Black"
"90",2,2020,"Washington",6.8876269066,"Black"
"91",2,2020,"West Virginia",5.044768529,"Black"
"92",2,2020,"Wisconsin",7.69429648727273,"Black"
"93",2,2020,"Wyoming",13.07873688625,"Black"
"94",3,2020,"Alabama",6.4036655118,"Black"
"95",3,2020,"Alaska",0.930608663333333,"Black"
"96",3,2020,"Arizona",9.88841616628572,"Black"
"97",3,2020,"Arkansas",5.458598957,"Black"
"98",3,2020,"California",12.1801511503333,"Black"
"99",3,2020,"Colorado",7.23257253829167,"Black"
"100",3,2020,"Connecticut",6.707946701,"Black"
"101",3,2020,"Florida",10.7972959785455,"Black"
"102",3,2020,"Georgia",6.260275019,"Black"
"103",3,2020,"Hawaii",5.00269820483333,"Black"
"104",3,2020,"Idaho",5.91969600726087,"Black"
"105",3,2020,"Illinois",9.469336114375,"Black"
"106",3,2020,"Indiana",10.2583907777857,"Black"
"107",3,2020,"Iowa",7.98398044514815,"Black"
"108",3,2020,"Kansas",5.35185700027273,"Black"
"109",3,2020,"Kentucky",7.786359436,"Black"
"110",3,2020,"Louisiana",5.0773821605,"Black"
"111",3,2020,"Maine",6.0236352333,"Black"
"112",3,2020,"Maryland",5.965038849,"Black"
"113",3,2020,"Massachusetts",5.80962615033333,"Black"
"114",3,2020,"Michigan",6.56759143410526,"Black"
"115",3,2020,"Minnesota",8.15485735158823,"Black"
"116",3,2020,"Missouri",6.18759470388235,"Black"
"117",3,2020,"Montana",6.52238663225,"Black"
"118",3,2020,"Nebraska",7.76676667832,"Black"
"119",3,2020,"Nevada",8.06069339575,"Black"
"120",3,2020,"New Hampshire",8.07708842075,"Black"
"121",3,2020,"New Jersey",22.7920937,"Black"
"122",3,2020,"New Mexico",9.75452865558333,"Black"
"123",3,2020,"New York",10.4614486698205,"Black"
"124",3,2020,"North Carolina",8.929579401,"Black"
"125",3,2020,"North Dakota",6.4735429974,"Black"
"126",3,2020,"Ohio",10.1472886378,"Black"
"127",3,2020,"Oklahoma",5.03039124127273,"Black"
"128",3,2020,"Oregon",7.76287510294737,"Black"
"129",3,2020,"Pennsylvania",7.90821016028571,"Black"
"130",3,2020,"South Carolina",11.0340983065,"Black"
"131",3,2020,"South Dakota",6.50271376307143,"Black"
"132",3,2020,"Tennessee",6.42115529681818,"Black"
"133",3,2020,"Texas",12.6893689933878,"Black"
"134",3,2020,"Utah",11.6562672594167,"Black"
"135",3,2020,"Vermont",6.533220722,"Black"
"136",3,2020,"Virginia",6.34685442666667,"Black"
"137",3,2020,"Washington",6.98649313125,"Black"
"138",3,2020,"West Virginia",5.39545592141176,"Black"
"139",3,2020,"Wisconsin",8.90915862017857,"Black"
"140",3,2020,"Wyoming",5.316304532,"Black"
"141",4,2020,"Alabama",6.15677091966667,"Black"
"142",4,2020,"Alaska",2.2035610705,"Black"
"143",4,2020,"Arizona",7.9608804629375,"Black"
"144",4,2020,"Arkansas",5.6507524044,"Black"
"145",4,2020,"California",11.0963439583023,"Black"
"146",4,2020,"Colorado",8.54273301375,"Black"
"147",4,2020,"Connecticut",5.34304294933333,"Black"
"148",4,2020,"Delaware",6.6178174665,"Black"
"149",4,2020,"Florida",11.5445574395238,"Black"
"150",4,2020,"Georgia",6.886994214,"Black"
"151",4,2020,"Hawaii",6.5875028774,"Black"
"152",4,2020,"Idaho",8.38857092122222,"Black"
"153",4,2020,"Illinois",9.60420612736667,"Black"
"154",4,2020,"Indiana",9.39198243053846,"Black"
"155",4,2020,"Iowa",7.77956103840741,"Black"
"156",4,2020,"Kansas",7.36332550933333,"Black"
"157",4,2020,"Kentucky",7.68541022404546,"Black"
"158",4,2020,"Louisiana",3.592167379,"Black"
"159",4,2020,"Maine",5.68084255116667,"Black"
"160",4,2020,"Maryland",14.66421013,"Black"
"161",4,2020,"Massachusetts",5.738318916,"Black"
"162",4,2020,"Michigan",7.39706364066667,"Black"
"163",4,2020,"Minnesota",7.81756019048485,"Black"
"164",4,2020,"Mississippi",7.516513781,"Black"
