"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",7.43094558025,"Hispanic/Latino"
"2",1,2020,"Alaska",0.477885927,"Hispanic/Latino"
"3",1,2020,"Arizona",12.048581746,"Hispanic/Latino"
"4",1,2020,"Arkansas",11.62093834,"Hispanic/Latino"
"5",1,2020,"California",14.2266050265,"Hispanic/Latino"
"6",1,2020,"Colorado",13.51409076,"Hispanic/Latino"
"7",1,2020,"Florida",5.11410480871429,"Hispanic/Latino"
"8",1,2020,"Georgia",14.42852434,"Hispanic/Latino"
"9",1,2020,"Hawaii",4.987447855,"Hispanic/Latino"
"10",1,2020,"Indiana",16.288781975,"Hispanic/Latino"
"11",1,2020,"Iowa",8.900379273,"Hispanic/Latino"
"12",1,2020,"Kansas",4.318256925,"Hispanic/Latino"
"13",1,2020,"Kentucky",9.24385173733333,"Hispanic/Latino"
"14",1,2020,"Louisiana",11.8787521515,"Hispanic/Latino"
"15",1,2020,"Massachusetts",15.31024583,"Hispanic/Latino"
"16",1,2020,"Michigan",21.84575867,"Hispanic/Latino"
"17",1,2020,"Minnesota",23.48236163,"Hispanic/Latino"
"18",1,2020,"Mississippi",11.5420546948333,"Hispanic/Latino"
"19",1,2020,"Missouri",10.9900416115,"Hispanic/Latino"
"20",1,2020,"Montana",3.327292618,"Hispanic/Latino"
"21",1,2020,"New Hampshire",14.30208924,"Hispanic/Latino"
"22",1,2020,"New Jersey",12.5914038015,"Hispanic/Latino"
"23",1,2020,"New York",19.6170121179,"Hispanic/Latino"
"24",1,2020,"North Dakota",7.263072937,"Hispanic/Latino"
"25",1,2020,"Ohio",16.3555741776667,"Hispanic/Latino"
"26",1,2020,"Pennsylvania",15.0860504016667,"Hispanic/Latino"
"27",1,2020,"South Carolina",9.538070103,"Hispanic/Latino"
"28",1,2020,"South Dakota",4.970495152,"Hispanic/Latino"
"29",1,2020,"Tennessee",12.8895147395,"Hispanic/Latino"
"30",1,2020,"Texas",18.3822814566667,"Hispanic/Latino"
"31",1,2020,"Utah",15.7484335633333,"Hispanic/Latino"
"32",1,2020,"Virginia",10.5294511962857,"Hispanic/Latino"
"33",1,2020,"West Virginia",4.187755239,"Hispanic/Latino"
"34",2,2020,"Alabama",9.788246302,"Hispanic/Latino"
"35",2,2020,"Arizona",12.2335341038,"Hispanic/Latino"
"36",2,2020,"Arkansas",12.82082265,"Hispanic/Latino"
"37",2,2020,"California",19.2376842928571,"Hispanic/Latino"
"38",2,2020,"Colorado",16.38014495,"Hispanic/Latino"
"39",2,2020,"Florida",2.701497082,"Hispanic/Latino"
"40",2,2020,"Georgia",2.500486527,"Hispanic/Latino"
"41",2,2020,"Hawaii",5.3100103205,"Hispanic/Latino"
"42",2,2020,"Idaho",3.849327724,"Hispanic/Latino"
"43",2,2020,"Illinois",11.51683302525,"Hispanic/Latino"
"44",2,2020,"Kansas",22.12432641,"Hispanic/Latino"
"45",2,2020,"Kentucky",10.2636211216667,"Hispanic/Latino"
"46",2,2020,"Maine",5.45796601,"Hispanic/Latino"
"47",2,2020,"Maryland",6.761893252,"Hispanic/Latino"
"48",2,2020,"Massachusetts",20.21968186,"Hispanic/Latino"
"49",2,2020,"Michigan",20.659765691,"Hispanic/Latino"
"50",2,2020,"Missouri",9.22873256266667,"Hispanic/Latino"
"51",2,2020,"Nebraska",9.0611581375,"Hispanic/Latino"
"52",2,2020,"New Jersey",18.3413199803333,"Hispanic/Latino"
"53",2,2020,"New Mexico",14.75294907,"Hispanic/Latino"
"54",2,2020,"New York",22.3384055897143,"Hispanic/Latino"
"55",2,2020,"North Carolina",3.455385673,"Hispanic/Latino"
"56",2,2020,"North Dakota",5.510531799,"Hispanic/Latino"
"57",2,2020,"Ohio",7.262770471,"Hispanic/Latino"
"58",2,2020,"Oklahoma",NA,"Hispanic/Latino"
"59",2,2020,"Pennsylvania",16.2864377184286,"Hispanic/Latino"
"60",2,2020,"South Carolina",5.9207498225,"Hispanic/Latino"
"61",2,2020,"Tennessee",16.7269521536,"Hispanic/Latino"
"62",2,2020,"Texas",9.8406128945,"Hispanic/Latino"
"63",2,2020,"Virginia",16.87450153,"Hispanic/Latino"
"64",2,2020,"Washington",1.914570889,"Hispanic/Latino"
"65",2,2020,"West Virginia",8.30090823325,"Hispanic/Latino"
"66",2,2020,"Wisconsin",22.29189545,"Hispanic/Latino"
"67",3,2020,"Alabama",9.80848589483333,"Hispanic/Latino"
"68",3,2020,"Alaska",0.496784914,"Hispanic/Latino"
"69",3,2020,"Arizona",11.0642423085,"Hispanic/Latino"
"70",3,2020,"Florida",8.950350399,"Hispanic/Latino"
"71",3,2020,"Georgia",3.443196831,"Hispanic/Latino"
"72",3,2020,"Hawaii",0.975097329,"Hispanic/Latino"
"73",3,2020,"Illinois",16.84151367,"Hispanic/Latino"
"74",3,2020,"Indiana",12.963881415,"Hispanic/Latino"
"75",3,2020,"Iowa",6.1302785975,"Hispanic/Latino"
"76",3,2020,"Kentucky",5.59450863433333,"Hispanic/Latino"
"77",3,2020,"Louisiana",4.169453591,"Hispanic/Latino"
"78",3,2020,"Maine",4.9416184695,"Hispanic/Latino"
"79",3,2020,"Massachusetts",11.118997229,"Hispanic/Latino"
"80",3,2020,"Michigan",18.588797608,"Hispanic/Latino"
"81",3,2020,"Minnesota",4.59341488625,"Hispanic/Latino"
"82",3,2020,"Mississippi",8.20206009233333,"Hispanic/Latino"
"83",3,2020,"Missouri",18.9205314556667,"Hispanic/Latino"
"84",3,2020,"New Jersey",9.78321233,"Hispanic/Latino"
"85",3,2020,"New York",18.5000798286667,"Hispanic/Latino"
"86",3,2020,"North Carolina",20.25347941,"Hispanic/Latino"
"87",3,2020,"Ohio",14.6234885472,"Hispanic/Latino"
"88",3,2020,"Pennsylvania",10.7369138722,"Hispanic/Latino"
"89",3,2020,"South Dakota",6.25146653,"Hispanic/Latino"
"90",3,2020,"Tennessee",9.386764421,"Hispanic/Latino"
"91",3,2020,"Texas",16.469876724,"Hispanic/Latino"
"92",3,2020,"Virginia",5.31513148466667,"Hispanic/Latino"
"93",3,2020,"West Virginia",5.7625246245,"Hispanic/Latino"
"94",3,2020,"Wisconsin",6.823736817,"Hispanic/Latino"
"95",4,2020,"Alabama",6.6047774367,"Hispanic/Latino"
"96",4,2020,"Arizona",14.97373669,"Hispanic/Latino"
"97",4,2020,"Arkansas",5.010149366,"Hispanic/Latino"
"98",4,2020,"California",4.290102657,"Hispanic/Latino"
"99",4,2020,"Colorado",13.64887928,"Hispanic/Latino"
"100",4,2020,"Delaware",9.460653495,"Hispanic/Latino"
"101",4,2020,"District of Columbia",23.63163072,"Hispanic/Latino"
"102",4,2020,"Hawaii",0.11524207,"Hispanic/Latino"
"103",4,2020,"Illinois",16.018211937,"Hispanic/Latino"
"104",4,2020,"Indiana",13.8042301306667,"Hispanic/Latino"
"105",4,2020,"Kansas",7.299152561,"Hispanic/Latino"
"106",4,2020,"Kentucky",7.76014712323077,"Hispanic/Latino"
"107",4,2020,"Louisiana",16.11864426,"Hispanic/Latino"
"108",4,2020,"Maine",4.4841286515,"Hispanic/Latino"
"109",4,2020,"Maryland",16.79574412,"Hispanic/Latino"
"110",4,2020,"Michigan",14.8555290224444,"Hispanic/Latino"
"111",4,2020,"Minnesota",5.52044607533333,"Hispanic/Latino"
"112",4,2020,"Mississippi",10.40969287625,"Hispanic/Latino"
"113",4,2020,"Missouri",11.106329297,"Hispanic/Latino"
"114",4,2020,"Montana",3.400644983,"Hispanic/Latino"
"115",4,2020,"New Jersey",11.42899444,"Hispanic/Latino"
"116",4,2020,"New Mexico",7.795458273,"Hispanic/Latino"
"117",4,2020,"New York",13.53161170375,"Hispanic/Latino"
"118",4,2020,"North Carolina",2.304899191,"Hispanic/Latino"
"119",4,2020,"North Dakota",7.365141837,"Hispanic/Latino"
"120",4,2020,"Ohio",13.5076580200769,"Hispanic/Latino"
"121",4,2020,"Oklahoma",11.673695274,"Hispanic/Latino"
"122",4,2020,"Pennsylvania",7.7078501457,"Hispanic/Latino"
"123",4,2020,"South Carolina",7.04443053666667,"Hispanic/Latino"
"124",4,2020,"South Dakota",3.771517015,"Hispanic/Latino"
"125",4,2020,"Tennessee",15.73779072,"Hispanic/Latino"
"126",4,2020,"Virginia",5.809813445,"Hispanic/Latino"
"127",4,2020,"Washington",8.005554934,"Hispanic/Latino"
"128",4,2020,"West Virginia",3.955207389,"Hispanic/Latino"
"129",4,2020,"Wisconsin",3.407100683,"Hispanic/Latino"
"130",4,2020,"Wyoming",21.01248372,"Hispanic/Latino"
"131",5,2020,"Alabama",8.09368007008333,"Hispanic/Latino"
"132",5,2020,"Arizona",1.71419124,"Hispanic/Latino"
"133",5,2020,"Arkansas",6.919980746,"Hispanic/Latino"
"134",5,2020,"California",13.86478754,"Hispanic/Latino"
"135",5,2020,"Delaware",9.104922485,"Hispanic/Latino"
"136",5,2020,"Florida",5.86036773666667,"Hispanic/Latino"
"137",5,2020,"Georgia",3.597703849,"Hispanic/Latino"
"138",5,2020,"Hawaii",7.058200008,"Hispanic/Latino"
"139",5,2020,"Illinois",10.280709773,"Hispanic/Latino"
"140",5,2020,"Indiana",9.050242148,"Hispanic/Latino"
"141",5,2020,"Iowa",7.650900646,"Hispanic/Latino"
"142",5,2020,"Kentucky",5.5675988088421,"Hispanic/Latino"
"143",5,2020,"Louisiana",18.498374505,"Hispanic/Latino"
"144",5,2020,"Maine",5.195481737,"Hispanic/Latino"
"145",5,2020,"Maryland",NA,"Hispanic/Latino"
"146",5,2020,"Massachusetts",37.01552015,"Hispanic/Latino"
"147",5,2020,"Michigan",14.0331913015714,"Hispanic/Latino"
"148",5,2020,"Minnesota",4.0073575915,"Hispanic/Latino"
"149",5,2020,"Mississippi",12.5671273438,"Hispanic/Latino"
"150",5,2020,"Missouri",9.28901503675,"Hispanic/Latino"
"151",5,2020,"Montana",7.264005141,"Hispanic/Latino"
"152",5,2020,"Nebraska",4.760833612,"Hispanic/Latino"
"153",5,2020,"New York",19.97744708425,"Hispanic/Latino"
"154",5,2020,"North Carolina",12.80440617,"Hispanic/Latino"
"155",5,2020,"North Dakota",6.1357670265,"Hispanic/Latino"
"156",5,2020,"Ohio",9.5736437546,"Hispanic/Latino"
"157",5,2020,"Pennsylvania",8.44716361885714,"Hispanic/Latino"
"158",5,2020,"South Carolina",6.78469417433333,"Hispanic/Latino"
"159",5,2020,"Tennessee",8.78024641066667,"Hispanic/Latino"
"160",5,2020,"Virginia",4.4699226175,"Hispanic/Latino"
"161",5,2020,"West Virginia",6.53338473242857,"Hispanic/Latino"
"162",5,2020,"Wisconsin",4.874530472,"Hispanic/Latino"
"163",6,2020,"Alabama",4.75683128775,"Hispanic/Latino"
"164",6,2020,"Alaska",0.28193857,"Hispanic/Latino"
"165",6,2020,"Arkansas",5.29248511833333,"Hispanic/Latino"
"166",6,2020,"California",12.23216417,"Hispanic/Latino"
"167",6,2020,"Florida",3.2678861315,"Hispanic/Latino"
"168",6,2020,"Georgia",12.841605322,"Hispanic/Latino"
"169",6,2020,"Illinois",17.7906823016667,"Hispanic/Latino"
"170",6,2020,"Indiana",10.2406152215,"Hispanic/Latino"
"171",6,2020,"Iowa",6.684703271,"Hispanic/Latino"
"172",6,2020,"Kentucky",6.1744099027,"Hispanic/Latino"
"173",6,2020,"Louisiana",16.20691952,"Hispanic/Latino"
"174",6,2020,"Maine",3.391566602,"Hispanic/Latino"
"175",6,2020,"Maryland",6.960836393,"Hispanic/Latino"
"176",6,2020,"Michigan",17.9885621194667,"Hispanic/Latino"
"177",6,2020,"Minnesota",5.60678544083333,"Hispanic/Latino"
"178",6,2020,"Mississippi",7.08089215988889,"Hispanic/Latino"
"179",6,2020,"Missouri",13.20680588,"Hispanic/Latino"
"180",6,2020,"Montana",3.985943291,"Hispanic/Latino"
"181",6,2020,"Nebraska",21.19127352,"Hispanic/Latino"
"182",6,2020,"New Hampshire",6.077328142,"Hispanic/Latino"
"183",6,2020,"New Mexico",13.72021776,"Hispanic/Latino"
"184",6,2020,"New York",11.177039917625,"Hispanic/Latino"
"185",6,2020,"North Carolina",5.367600252,"Hispanic/Latino"
"186",6,2020,"North Dakota",9.442191472,"Hispanic/Latino"
