"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",10.29017176,"Not Hispanic/Latino"
"2",1,2020,"Arizona",8.2567193325,"Not Hispanic/Latino"
"3",1,2020,"California",14.805333085375,"Not Hispanic/Latino"
"4",1,2020,"Florida",7.34564080925,"Not Hispanic/Latino"
"5",1,2020,"Hawaii",5.028119144,"Not Hispanic/Latino"
"6",1,2020,"Kansas",22.12432641,"Not Hispanic/Latino"
"7",1,2020,"Massachusetts",17.75886566,"Not Hispanic/Latino"
"8",1,2020,"Michigan",23.87221225,"Not Hispanic/Latino"
"9",1,2020,"Mississippi",13.57809936,"Not Hispanic/Latino"
"10",1,2020,"New Mexico",14.75294907,"Not Hispanic/Latino"
"11",1,2020,"New York",27.717805993,"Not Hispanic/Latino"
"12",1,2020,"Ohio",21.707023335,"Not Hispanic/Latino"
"13",1,2020,"Pennsylvania",19.7792745266667,"Not Hispanic/Latino"
"14",1,2020,"Tennessee",22.2982803,"Not Hispanic/Latino"
"15",1,2020,"Texas",16.687202282,"Not Hispanic/Latino"
"16",1,2020,"Virginia",5.79662678066667,"Not Hispanic/Latino"
"17",1,2020,"Wisconsin",22.29189545,"Not Hispanic/Latino"
"18",2,2020,"Alabama",4.444344579,"Not Hispanic/Latino"
"19",2,2020,"Arizona",17.59269776,"Not Hispanic/Latino"
"20",2,2020,"California",20.2926774,"Not Hispanic/Latino"
"21",2,2020,"Florida",13.1283106805,"Not Hispanic/Latino"
"22",2,2020,"Illinois",13.67153801,"Not Hispanic/Latino"
"23",2,2020,"Indiana",21.13357517,"Not Hispanic/Latino"
"24",2,2020,"Kentucky",5.14721225,"Not Hispanic/Latino"
"25",2,2020,"Maryland",15.86631949,"Not Hispanic/Latino"
"26",2,2020,"Michigan",21.129637175,"Not Hispanic/Latino"
"27",2,2020,"Missouri",10.9900416115,"Not Hispanic/Latino"
"28",2,2020,"New Jersey",13.4653995805,"Not Hispanic/Latino"
"29",2,2020,"New Mexico",14.7235855945,"Not Hispanic/Latino"
"30",2,2020,"New York",19.1741730872222,"Not Hispanic/Latino"
"31",2,2020,"North Carolina",8.7388208505,"Not Hispanic/Latino"
"32",2,2020,"Pennsylvania",16.989591825,"Not Hispanic/Latino"
"33",2,2020,"South Carolina",12.12684471,"Not Hispanic/Latino"
"34",2,2020,"Tennessee",5.245879554,"Not Hispanic/Latino"
"35",2,2020,"Texas",20.4743050025,"Not Hispanic/Latino"
"36",2,2020,"Wyoming",21.01248372,"Not Hispanic/Latino"
"37",3,2020,"Alabama",5.293705995,"Not Hispanic/Latino"
"38",3,2020,"Arizona",2.51326095,"Not Hispanic/Latino"
"39",3,2020,"Florida",5.655101922,"Not Hispanic/Latino"
"40",3,2020,"Massachusetts",19.19920536,"Not Hispanic/Latino"
"41",3,2020,"Michigan",8.014128392,"Not Hispanic/Latino"
"42",3,2020,"New Jersey",26.04680718,"Not Hispanic/Latino"
"43",3,2020,"New York",NA,"Not Hispanic/Latino"
"44",3,2020,"Ohio",22.90181857,"Not Hispanic/Latino"
"45",3,2020,"Pennsylvania",19.75588696,"Not Hispanic/Latino"
"46",3,2020,"Texas",15.60918558,"Not Hispanic/Latino"
"47",3,2020,"Virginia",7.425046286,"Not Hispanic/Latino"
"48",4,2020,"Colorado",16.38014495,"Not Hispanic/Latino"
"49",4,2020,"Louisiana",16.36060383,"Not Hispanic/Latino"
"50",4,2020,"Massachusetts",11.214156,"Not Hispanic/Latino"
"51",4,2020,"Michigan",14.4597527855,"Not Hispanic/Latino"
"52",4,2020,"Minnesota",23.48236163,"Not Hispanic/Latino"
"53",4,2020,"New Hampshire",15.7217548,"Not Hispanic/Latino"
"54",4,2020,"New Jersey",22.7920937,"Not Hispanic/Latino"
"55",4,2020,"New Mexico",12.81732637,"Not Hispanic/Latino"
"56",4,2020,"New York",22.6404969556,"Not Hispanic/Latino"
"57",4,2020,"North Carolina",7.6189738395,"Not Hispanic/Latino"
"58",4,2020,"Pennsylvania",NA,"Not Hispanic/Latino"
"59",4,2020,"Texas",16.49092185,"Not Hispanic/Latino"
"60",5,2020,"Alaska",8.745440795,"Not Hispanic/Latino"
"61",5,2020,"California",14.41987648,"Not Hispanic/Latino"
"62",5,2020,"Florida",0.356839313,"Not Hispanic/Latino"
"63",5,2020,"Illinois",28.24834827,"Not Hispanic/Latino"
"64",5,2020,"Kentucky",8.445810514,"Not Hispanic/Latino"
"65",5,2020,"Louisiana",7.396900473,"Not Hispanic/Latino"
"66",5,2020,"Michigan",29.29449665,"Not Hispanic/Latino"
"67",5,2020,"Nebraska",13.96688806,"Not Hispanic/Latino"
"68",5,2020,"New York",13.34762521,"Not Hispanic/Latino"
"69",5,2020,"North Carolina",3.078240425,"Not Hispanic/Latino"
"70",5,2020,"Texas",2.372636845,"Not Hispanic/Latino"
"71",6,2020,"Arizona",17.00270118,"Not Hispanic/Latino"
"72",6,2020,"Hawaii",0.975097329,"Not Hispanic/Latino"
"73",6,2020,"Indiana",13.69459433,"Not Hispanic/Latino"
"74",6,2020,"Massachusetts",37.01552015,"Not Hispanic/Latino"
"75",6,2020,"Michigan",19.63445242,"Not Hispanic/Latino"
"76",6,2020,"New Mexico",13.72021776,"Not Hispanic/Latino"
"77",6,2020,"New York",20.88646587,"Not Hispanic/Latino"
"78",6,2020,"Oklahoma",33.10385719,"Not Hispanic/Latino"
"79",6,2020,"Pennsylvania",18.278375465,"Not Hispanic/Latino"
"80",6,2020,"South Carolina",2.985520107,"Not Hispanic/Latino"
"81",6,2020,"Texas",23.25644424,"Not Hispanic/Latino"
"82",6,2020,"Utah",17.03875145,"Not Hispanic/Latino"
"83",6,2020,"Virginia",17.83668869,"Not Hispanic/Latino"
"84",7,2020,"California",25.65519147,"Not Hispanic/Latino"
"85",7,2020,"Michigan",15.08812859,"Not Hispanic/Latino"
"86",7,2020,"Mississippi",7.516513781,"Not Hispanic/Latino"
"87",7,2020,"Missouri",8.5866796555,"Not Hispanic/Latino"
"88",7,2020,"New York",21.7693255563333,"Not Hispanic/Latino"
"89",7,2020,"Tennessee",10.9775464255,"Not Hispanic/Latino"
"90",7,2020,"Virginia",21.06024637,"Not Hispanic/Latino"
"91",8,2020,"Florida",13.2360949405,"Not Hispanic/Latino"
"92",8,2020,"Kansas",24.83987938,"Not Hispanic/Latino"
"93",8,2020,"Kentucky",23.97096471,"Not Hispanic/Latino"
"94",8,2020,"New York",14.80313101,"Not Hispanic/Latino"
"95",8,2020,"Oklahoma",NA,"Not Hispanic/Latino"
"96",8,2020,"Tennessee",4.560264324,"Not Hispanic/Latino"
"97",8,2020,"Washington",8.005554934,"Not Hispanic/Latino"
"98",9,2020,"Arizona",22.61463199,"Not Hispanic/Latino"
"99",9,2020,"California",10.085748407,"Not Hispanic/Latino"
"100",9,2020,"Hawaii",5.591901497,"Not Hispanic/Latino"
"101",9,2020,"Illinois",NA,"Not Hispanic/Latino"
"102",9,2020,"Michigan",15.5520612395,"Not Hispanic/Latino"
