"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",4.444344579,"Two or more"
"2",1,2020,"Arizona",17.7926107266667,"Two or more"
"3",1,2020,"Arkansas",11.62093834,"Two or more"
"4",1,2020,"California",13.6533715781429,"Two or more"
"5",1,2020,"Colorado",10.3335817,"Two or more"
"6",1,2020,"Florida",7.53214626975,"Two or more"
"7",1,2020,"Indiana",16.288781975,"Two or more"
"8",1,2020,"Kansas",16.62522949875,"Two or more"
"9",1,2020,"Kentucky",11.837478297,"Two or more"
"10",1,2020,"Louisiana",10.59298623,"Two or more"
"11",1,2020,"Massachusetts",23.7592286825,"Two or more"
"12",1,2020,"Michigan",16.0709243487143,"Two or more"
"13",1,2020,"Minnesota",23.48236163,"Two or more"
"14",1,2020,"Mississippi",13.490028305,"Two or more"
"15",1,2020,"Missouri",12.126250415,"Two or more"
"16",1,2020,"Montana",3.327292618,"Two or more"
"17",1,2020,"New Jersey",4.437067503,"Two or more"
"18",1,2020,"New York",18.0762821070833,"Two or more"
"19",1,2020,"North Carolina",2.433541509,"Two or more"
"20",1,2020,"Ohio",22.90181857,"Two or more"
"21",1,2020,"Oklahoma",NA,"Two or more"
"22",1,2020,"Pennsylvania",17.4337837635,"Two or more"
"23",1,2020,"Tennessee",8.564296377,"Two or more"
"24",1,2020,"Texas",15.5905889295556,"Two or more"
"25",1,2020,"Virginia",8.26159030025,"Two or more"
"26",2,2020,"Alabama",7.2425726495,"Two or more"
"27",2,2020,"Alaska",8.745440795,"Two or more"
"28",2,2020,"Arizona",12.0077859316667,"Two or more"
"29",2,2020,"California",19.3094405,"Two or more"
"30",2,2020,"Colorado",6.961781546,"Two or more"
"31",2,2020,"Florida",5.20344561766667,"Two or more"
"32",2,2020,"Illinois",20.95994314,"Two or more"
"33",2,2020,"Louisiana",16.36060383,"Two or more"
"34",2,2020,"Maryland",14.99331879,"Two or more"
"35",2,2020,"Massachusetts",19.22938952,"Two or more"
"36",2,2020,"Michigan",18.5555938291,"Two or more"
"37",2,2020,"Nebraska",15.732298495,"Two or more"
"38",2,2020,"Nevada",7.074689643,"Two or more"
"39",2,2020,"New Mexico",13.78513772,"Two or more"
"40",2,2020,"New York",17.2110373557857,"Two or more"
"41",2,2020,"North Carolina",9.1254914675,"Two or more"
"42",2,2020,"Ohio",15.95816734,"Two or more"
"43",2,2020,"Pennsylvania",16.66020289,"Two or more"
"44",2,2020,"South Carolina",6.205728722,"Two or more"
"45",2,2020,"Tennessee",13.4892955812,"Two or more"
"46",2,2020,"Texas",19.768062093,"Two or more"
"47",2,2020,"Utah",14.33633914,"Two or more"
"48",2,2020,"Virginia",10.63291946,"Two or more"
"49",3,2020,"Alabama",10.10336935,"Two or more"
"50",3,2020,"Arizona",10.1594324335,"Two or more"
"51",3,2020,"Arkansas",26.05930405,"Two or more"
"52",3,2020,"California",18.2490367,"Two or more"
"53",3,2020,"Colorado",11.415111105,"Two or more"
"54",3,2020,"Florida",5.87593380225,"Two or more"
"55",3,2020,"Hawaii",3.86503932333333,"Two or more"
