"","Adult_pop","YEAR","STATE","MEAN_NO2","Race"
"1",1,2020,"Alabama",4.444344579,"White"
"2",1,2020,"Alaska",8.745440795,"White"
"3",1,2020,"Arizona",6.9141117755,"White"
"4",1,2020,"California",17.9181567866667,"White"
"5",1,2020,"Florida",0.356839313,"White"
"6",1,2020,"Hawaii",0.975097329,"White"
"7",1,2020,"Illinois",29.647423288,"White"
"8",1,2020,"Kentucky",8.445810514,"White"
"9",1,2020,"Louisiana",12.5384928865,"White"
"10",1,2020,"Massachusetts",20.534458925,"White"
"11",1,2020,"Michigan",14.083433251,"White"
"12",1,2020,"Mississippi",13.57809936,"White"
"13",1,2020,"New Jersey",13.42243764,"White"
"14",1,2020,"New Mexico",10.2053762995,"White"
"15",1,2020,"New York",22.8088306911429,"White"
"16",1,2020,"North Carolina",2.304899191,"White"
"17",1,2020,"Ohio",22.095977135,"White"
"18",1,2020,"Pennsylvania",14.60136218,"White"
"19",1,2020,"South Carolina",12.12684471,"White"
"20",1,2020,"Tennessee",9.386764421,"White"
"21",1,2020,"Texas",18.66280177,"White"
"22",1,2020,"Virginia",10.8585141386667,"White"
"23",2,2020,"Alabama",13.4616563716667,"White"
"24",2,2020,"California",25.65519147,"White"
"25",2,2020,"Colorado",16.38014495,"White"
"26",2,2020,"Florida",16.2570255325,"White"
"27",2,2020,"Georgia",NA,"White"
"28",2,2020,"Hawaii",6.3250507525,"White"
"29",2,2020,"Illinois",30.38133759,"White"
"30",2,2020,"Indiana",21.13357517,"White"
"31",2,2020,"Kentucky",5.14721225,"White"
"32",2,2020,"Louisiana",NA,"White"
"33",2,2020,"Massachusetts",16.02303718,"White"
"34",2,2020,"Michigan",15.05837028,"White"
"35",2,2020,"Minnesota",23.48236163,"White"
"36",2,2020,"Mississippi",16.89661242,"White"
"37",2,2020,"New Jersey",26.04680718,"White"
"38",2,2020,"New Mexico",13.8969092023333,"White"
"39",2,2020,"New York",18.0810179214,"White"
"40",2,2020,"Ohio",22.90181857,"White"
"41",2,2020,"Pennsylvania",17.56934949,"White"
"42",2,2020,"Tennessee",12.4943157715,"White"
"43",2,2020,"Texas",18.3720962066667,"White"
"44",2,2020,"Virginia",21.06024637,"White"
"45",2,2020,"Washington",8.005554934,"White"
"46",3,2020,"Arizona",1.767562524,"White"
"47",3,2020,"Hawaii",4.987447855,"White"
"48",3,2020,"Illinois",24.857877926,"White"
"49",3,2020,"Louisiana",16.36060383,"White"
"50",3,2020,"Michigan",5.490193192,"White"
"51",3,2020,"New York",20.3427178,"White"
"52",3,2020,"North Carolina",6.10539603466667,"White"
"53",3,2020,"Pennsylvania",19.75588696,"White"
"54",3,2020,"Virginia",5.229153949,"White"
"55",4,2020,"California",14.41987648,"White"
"56",4,2020,"Illinois",30.22312816,"White"
"57",4,2020,"Indiana",13.69459433,"White"
"58",4,2020,"Louisiana",26.25643604,"White"
"59",4,2020,"Michigan",19.63445242,"White"
"60",4,2020,"New Hampshire",15.7217548,"White"
"61",4,2020,"New Mexico",5.187982574,"White"
"62",4,2020,"New York",19.326301165,"White"
"63",4,2020,"Oklahoma",33.10385719,"White"
"64",4,2020,"Pennsylvania",17.9089038,"White"
"65",4,2020,"Tennessee",16.34116624,"White"
"66",4,2020,"Texas",16.7345113,"White"
"67",5,2020,"Alabama",11.967427891,"White"
"68",5,2020,"Arizona",22.43336708,"White"
"69",5,2020,"Florida",21.42603503,"White"
"70",5,2020,"Georgia",14.42852434,"White"
"71",5,2020,"Hawaii",18.65128548,"White"
"72",5,2020,"Illinois",29.0835639275,"White"
"73",5,2020,"Indiana",18.21289384,"White"
"74",5,2020,"Michigan",23.64546618,"White"
"75",5,2020,"Mississippi",18.80257282,"White"
"76",5,2020,"Missouri",7.235222694,"White"
"77",5,2020,"Nebraska",13.96688806,"White"
"78",5,2020,"New Mexico",5.456054878,"White"
"79",5,2020,"New York",19.60420434,"White"
"80",5,2020,"Oklahoma",29.95110966,"White"
"81",5,2020,"Pennsylvania",17.328333175,"White"
"82",5,2020,"Texas",23.709801425,"White"
"83",5,2020,"Utah",17.03875145,"White"
"84",6,2020,"Alabama",10.4960759726667,"White"
"85",6,2020,"California",10.37697536,"White"
"86",6,2020,"Florida",3.9434309865,"White"
"87",6,2020,"Illinois",29.500634682,"White"
"88",6,2020,"Kentucky",23.97096471,"White"
"89",6,2020,"Louisiana",10.59298623,"White"
"90",6,2020,"Michigan",22.74326206,"White"
"91",6,2020,"Missouri",14.3416717835,"White"
"92",6,2020,"New York",28.8256476966667,"White"
"93",6,2020,"Ohio",19.18764096,"White"
"94",6,2020,"South Carolina",2.985520107,"White"
"95",6,2020,"Tennessee",12.56832843,"White"
"96",7,2020,"Alabama",12.939032645,"White"
"97",7,2020,"Arizona",13.36351844,"White"
"98",7,2020,"Georgia",15.78450314,"White"
"99",7,2020,"Illinois",29.9902739725,"White"
"100",7,2020,"Kansas",22.99114769,"White"
"101",7,2020,"Michigan",29.33525482,"White"
"102",7,2020,"New York",21.54416881,"White"
"103",7,2020,"Ohio",19.18764099,"White"
"104",7,2020,"Tennessee",11.022953167,"White"
"105",8,2020,"California",15.751345698,"White"
"106",8,2020,"Colorado",13.51409076,"White"
"107",8,2020,"Illinois",26.56503626,"White"
"108",8,2020,"Indiana",22.46575401,"White"
"109",8,2020,"Kansas",26.68861107,"White"
"110",8,2020,"Louisiana",11.734588917,"White"
"111",8,2020,"Michigan",19.1541464938,"White"
"112",8,2020,"New Mexico",5.493163629,"White"
"113",8,2020,"New York",21.408153163,"White"
"114",8,2020,"North Carolina",13.08906361,"White"
"115",8,2020,"Tennessee",16.393531475,"White"
"116",8,2020,"Wisconsin",NA,"White"
"117",9,2020,"Alabama",13.574535055,"White"
"118",9,2020,"Arizona",4.297915366,"White"
"119",9,2020,"California",14.99888017,"White"
"120",9,2020,"Illinois",25.614151062,"White"
"121",9,2020,"Indiana",16.2340613,"White"
"122",9,2020,"Kansas",19.92411593,"White"
"123",9,2020,"Massachusetts",37.01552015,"White"
"124",9,2020,"Michigan",16.4809088333333,"White"
"125",9,2020,"Mississippi",19.6760918,"White"
"126",9,2020,"Nevada",7.074689643,"White"
"127",9,2020,"New Mexico",17.39389793,"White"
"128",9,2020,"New York",NA,"White"
"129",9,2020,"Ohio",17.81709393,"White"
"130",9,2020,"Oklahoma",NA,"White"
"131",9,2020,"Tennessee",18.70165652,"White"
"132",9,2020,"Utah",14.33633914,"White"
"133",10,2020,"Alabama",8.9269724125,"White"
"134",10,2020,"Arizona",2.357059634,"White"
"135",10,2020,"Georgia",18.41525276,"White"
"136",10,2020,"Illinois",29.33506181,"White"
"137",10,2020,"Louisiana",12.48006037,"White"
"138",10,2020,"Maryland",24.78226904,"White"
"139",10,2020,"Michigan",25.9895799575,"White"
"140",10,2020,"Mississippi",13.40195725,"White"
"141",10,2020,"Montana",3.327292618,"White"
"142",10,2020,"New Mexico",7.997490317,"White"
"143",10,2020,"New York",18.390158535,"White"
"144",10,2020,"Ohio",19.35895848,"White"
"145",10,2020,"South Carolina",8.93525322,"White"
"146",10,2020,"Tennessee",19.48022889,"White"
"147",10,2020,"Utah",15.8702101,"White"
"148",11,2020,"Alabama",13.47185434,"White"
"149",11,2020,"Arizona",9.651994964,"White"
