"","GEOID","STATE","NO2_LEVELS","TOTAL_ADULTS","WHITE_ALONE","BLACK_ALONE","AIAN_ALONE","ASIAN_ALONE","NHPI_ALONE","OTHER_ALONE","TWO_MORE","HisLat_TOTAL","NotHisLat_TOTAL","INCOME_GROUP","UrbanRural"
"1",2185000100,"Alaska",NA,3385,620,69,1747,451,205,32,261,115,3270,"$85,000 to <$141,000",NA
"2",4013107403,"Arizona",NA,1420,646,268,77,38,0,212,179,469,951,"<$27,000",NA
"3",4013112521,"Arizona",NA,2333,473,340,119,63,18,897,423,1511,822,"$27,000 to <$52,000",NA
"4",4013422226,"Arizona",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"5",4019001100,"Arizona",NA,2009,746,19,133,16,1,642,452,1580,429,"$27,000 to <$52,000","Urban"
"6",4019002803,"Arizona",NA,1907,1246,91,40,50,16,206,258,504,1403,"$27,000 to <$52,000","Urban"
"7",4019003202,"Arizona",NA,2440,1478,220,72,88,5,192,385,606,1834,"$27,000 to <$52,000",NA
"8",4025000803,"Arizona",NA,1082,909,13,19,27,0,41,73,115,967,"$27,000 to <$52,000",NA
"9",6001400400,"California",NA,3421,2363,246,6,360,1,101,344,287,3134,"$85,000 to <$141,000",NA
"10",6001400600,"California",NA,1494,721,373,6,112,2,81,199,144,1350,"$85,000 to <$141,000",NA
"11",6001401200,"California",NA,2617,1595,261,8,326,18,126,283,317,2300,"$85,000 to <$141,000",NA
"12",6001401600,"California",NA,2443,832,624,41,243,26,409,268,625,1818,"$52,000 to <$85,000",NA
"13",6001402802,"California",NA,1368,316,564,26,265,12,68,117,143,1225,"<$27,000",NA
"14",6001402900,"California",NA,1804,580,320,18,687,0,59,140,189,1615,"$27,000 to <$52,000",NA
"15",6001403301,"California",NA,1723,176,191,1,1223,2,48,82,90,1633,"<$27,000",NA
"16",6001403402,"California",NA,1360,502,302,11,326,4,84,131,166,1194,"$52,000 to <$85,000",NA
"17",6001403502,"California",NA,1972,1020,331,15,286,4,92,224,267,1705,"$52,000 to <$85,000",NA
"18",6001403701,"California",NA,2615,1416,386,12,411,6,132,252,302,2313,"$52,000 to <$85,000",NA
"19",6001403702,"California",NA,1951,1060,324,6,277,0,84,200,181,1770,"$85,000 to <$141,000",NA
"20",6001404000,"California",NA,2732,1550,318,18,414,9,101,322,304,2428,"$85,000 to <$141,000",NA
"21",6001404102,"California",NA,2369,1518,179,14,335,0,76,247,233,2136,"$52,000 to <$85,000",NA
"22",6001405301,"California",NA,2695,1278,453,24,421,7,198,314,426,2269,"$85,000 to <$141,000",NA
"23",6001405302,"California",NA,2525,816,406,14,909,2,171,207,316,2209,"$52,000 to <$85,000",NA
"24",6001405500,"California",NA,3268,854,550,52,1268,0,271,273,509,2759,"$52,000 to <$85,000",NA
"25",6001405600,"California",NA,2709,875,464,44,875,7,193,251,385,2324,"$52,000 to <$85,000",NA
"26",6001405902,"California",NA,2516,271,348,59,1255,9,394,180,611,1905,"$52,000 to <$85,000",NA
"27",6001406202,"California",NA,3460,369,432,204,536,6,1500,413,2141,1319,"$27,000 to <$52,000",NA
"28",6001407101,"California",NA,2728,334,410,96,571,7,1008,302,1384,1344,"$27,000 to <$52,000",NA
"29",6001409100,"California",NA,1782,145,515,66,92,29,748,187,1043,739,"$52,000 to <$85,000",NA
"30",6001410200,"California",NA,2758,240,1179,55,191,52,758,283,1069,1689,"$52,000 to <$85,000",NA
"31",6001420302,"California",NA,1848,908,64,10,574,4,90,198,242,1606,"$52,000 to <$85,000",NA
"32",6001420401,"California",NA,1365,633,81,13,303,0,194,141,315,1050,"$52,000 to <$85,000",NA
"33",6001421100,"California",NA,1722,1265,38,0,246,2,26,145,86,1636,">=$141,000",NA
"34",6001422400,"California",NA,3841,1665,190,14,1486,4,140,342,328,3513,"$52,000 to <$85,000",NA
"35",6001422800,"California",NA,11000,4050,345,24,4101,1,1542,937,3094,7906,"<$27,000",NA
"36",6001422901,"California",NA,2148,728,115,10,1015,3,100,177,244,1904,"$27,000 to <$52,000",NA
"37",6001423200,"California",NA,2341,926,422,51,288,5,371,278,596,1745,"$52,000 to <$85,000",NA
"38",6001423601,"California",NA,2476,1656,75,11,385,3,88,258,237,2239,"$85,000 to <$141,000",NA
"39",6001424002,"California",NA,1976,759,548,17,247,0,209,196,315,1661,"$85,000 to <$141,000",NA
"40",6001428000,"California",NA,2463,928,155,23,910,12,158,277,368,2095,"$85,000 to <$141,000",NA
"41",6001437701,"California",NA,2872,293,328,70,523,147,1152,359,1583,1289,"$52,000 to <$85,000",NA
"42",6001441926,"California",NA,2895,434,102,20,1744,20,351,224,595,2300,"$85,000 to <$141,000",NA
"43",6001443321,"California",NA,2385,249,31,2,1966,6,71,60,129,2256,"$85,000 to <$141,000",NA
"44",6001451403,"California",NA,1709,1077,21,11,200,17,169,214,382,1327,">=$141,000",NA
"45",6001451506,"California",NA,2311,1202,90,52,247,6,410,304,743,1568,"$85,000 to <$141,000",NA
"46",6013351105,"California",NA,1700,1383,7,1,240,3,11,55,51,1649,"$27,000 to <$52,000",NA
"47",6013359104,"California",NA,1758,390,393,10,637,10,119,199,291,1467,"$52,000 to <$85,000",NA
"48",6013375000,"California",NA,3420,332,309,109,150,10,1917,593,2700,720,"$52,000 to <$85,000",NA
"49",6013377000,"California",NA,5550,809,937,149,312,10,2720,613,3588,1962,"$27,000 to <$52,000",NA
"50",6013390200,"California",NA,1523,987,18,4,307,3,49,155,128,1395,">=$141,000",NA
"51",6015990000,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"52",6017990000,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"53",6019001408,"California",NA,1978,902,159,49,178,3,446,241,963,1015,"<$27,000","Urban"
"54",6023990100,"California",NA,0,0,0,0,0,0,0,0,0,0,NA,NA
"55",6029001107,"California",NA,1762,363,51,31,6,5,939,367,1563,199,"$27,000 to <$52,000",NA
"56",6037101222,"California",NA,2209,1276,60,47,134,0,463,229,735,1474,"$27,000 to <$52,000",NA
"57",6037104823,"California",NA,2312,425,30,37,306,11,1031,472,1807,505,"$85,000 to <$141,000",NA
"58",6037106407,"California",NA,2176,472,170,46,73,1,1112,302,1646,530,"$27,000 to <$52,000",NA
"59",6037113324,"California",NA,1620,522,132,19,346,3,409,189,648,972,"$85,000 to <$141,000",NA
"60",6037113427,"California",NA,2291,628,150,20,363,0,860,270,1181,1110,"$52,000 to <$85,000",NA
"61",6037117405,"California",NA,2267,325,115,51,61,3,1442,270,1932,335,"$27,000 to <$52,000",NA
"62",6037117408,"California",NA,2073,324,120,36,199,2,1155,237,1541,532,"$27,000 to <$52,000",NA
"63",6037117510,"California",NA,2906,399,91,81,263,0,1719,353,2329,577,"$27,000 to <$52,000",NA
"64",6037119340,"California",NA,2484,256,89,90,101,2,1595,351,2203,281,"$27,000 to <$52,000",NA
"65",6037120103,"California",NA,2108,258,37,86,76,0,1302,349,1901,207,"$27,000 to <$52,000",NA
"66",6037120107,"California",NA,2550,440,98,60,164,3,1428,357,2071,479,"$27,000 to <$52,000",NA
"67",6037123204,"California",NA,2341,710,116,45,105,1,1072,292,1588,753,"$52,000 to <$85,000",NA
"68",6037124104,"California",NA,2041,639,140,43,105,5,801,308,1168,873,"$27,000 to <$52,000",NA
"69",6037127805,"California",NA,2785,905,173,40,197,6,1106,358,1637,1148,"$52,000 to <$85,000",NA
"70",6037134305,"California",NA,2710,365,112,73,223,5,1485,447,2094,616,"$27,000 to <$52,000",NA
"71",6037135115,"California",NA,3790,1596,192,10,1461,4,189,338,429,3361,"$52,000 to <$85,000",NA
"72",6037139504,"California",NA,3288,2383,181,13,192,2,172,345,369,2919,"$52,000 to <$85,000",NA
"73",6037141306,"California",NA,2590,1874,137,6,239,8,115,211,314,2276,"$85,000 to <$141,000",NA
"74",6037143102,"California",NA,2031,1397,138,9,162,2,134,189,298,1733,"$85,000 to <$141,000",NA
"75",6037183610,"California",NA,2273,697,37,71,228,0,842,398,1440,833,"$52,000 to <$85,000",NA
