STATE.x,IncidentCases,LowerIncidentCases,UpperIncidentCases
Alabama,13635,11508,15752
Alaska,1928,1628,2228
Arizona,19291,16282,22285
Arkansas,8049,6793,9298
California,107303,90568,123961
Colorado,15697,13249,18134
Connecticut,9987,8430,11538
Delaware,2727,2302,3151
District of Columbia,2002,1690,2313
Florida,60354,50941,69724
Georgia,28613,24151,33055
Hawaii,4023,3396,4648
Idaho,4791,4044,5535
Illinois,34806,29378,40209
Indiana,18074,15255,20880
Iowa,8528,7198,9852
Kansas,7760,6550,8964
Kentucky,12127,10235,14009
Louisiana,12428,10490,14358
Maine,3864,3261,4464
Maryland,16761,14147,19363
Massachusetts,19714,16640,22775
Michigan,27549,23252,31826
Minnesota,15277,12895,17649
Mississippi,7928,6691,9159
Missouri,16623,14030,19203
Montana,2959,2498,3418
Nebraska,5138,4337,5936
Nevada,8400,7090,9704
New Hampshire,3901,3292,4506
New Jersey,25345,21392,29279
New Mexico,5705,4815,6591
New York,56000,47266,64693
North Carolina,28386,23959,32793
North Dakota,2075,1751,2397
Ohio,32050,27051,37025
Oklahoma,10480,8845,12106
Oregon,11733,9903,13554
Pennsylvania,36039,30418,41633
Rhode Island,3090,2608,3569
South Carolina,13974,11794,16143
South Dakota,2330,1966,2691
Tennessee,18742,15819,21652
Texas,76114,64243,87929
Utah,8090,6828,9345
Vermont,1826,1541,2109
Virginia,23478,19816,27123
Washington,20971,17700,24226
West Virginia,4988,4210,5762
Wisconsin,16054,13551,18547
Wyoming,1536,1297,1775
