STATE.x,IncidentCases,LowerIncidentCases,UpperIncidentCases,AttributableCases,LowerAttributableCases,UpperAttributableCases,ImpactFraction,LowerImpactFraction,UpperImpactFraction
Alabama,13635,11508,15752,1199,487,1924,8.8,4.2,12.2
Alaska,1928,1628,2228,171,70,271,8.9,4.3,12.2
Arizona,19291,16282,22285,3113,1292,4917,16.1,7.9,22.1
Arkansas,8049,6793,9298,708,287,1136,8.8,4.2,12.2
California,107303,90568,123961,16657,6908,26328,15.5,7.6,21.2
Colorado,15697,13249,18134,2090,860,3323,13.3,6.5,18.3
Connecticut,9987,8430,11538,1160,475,1851,11.6,5.6,16
Delaware,2727,2302,3151,301,123,482,11,5.3,15.3
District of Columbia,2002,1690,2313,310,129,488,15.5,7.6,21.1
Florida,60354,50941,69724,7995,3293,12703,13.2,6.5,18.2
Georgia,28613,24151,33055,2849,1161,4565,10,4.8,13.8
Hawaii,4023,3396,4648,320,130,513,8,3.8,11
Idaho,4791,4044,5535,576,237,917,12,5.9,16.6
Illinois,34806,29378,40209,6140,2572,9633,17.6,8.8,24
Indiana,18074,15255,20880,2532,1044,4020,14,6.8,19.3
Iowa,8528,7198,9852,1046,429,1667,12.3,6,16.9
Kansas,7760,6550,8964,942,386,1502,12.1,5.9,16.8
Kentucky,12127,10235,14009,1536,631,2445,12.7,6.2,17.5
Louisiana,12428,10490,14358,1319,540,2108,10.6,5.1,14.7
Maine,3864,3261,4464,302,123,486,7.8,3.8,10.9
Maryland,16761,14147,19363,2055,843,3273,12.3,6,16.9
Massachusetts,19714,16640,22775,2850,1183,4501,14.5,7.1,19.8
Michigan,27549,23252,31826,3723,1538,5901,13.5,6.6,18.5
Minnesota,15277,12895,17649,2217,918,3510,14.5,7.1,19.9
Mississippi,7928,6691,9159,657,266,1056,8.3,4,11.5
Missouri,16623,14030,19203,1915,784,3055,11.5,5.6,15.9
Montana,2959,2498,3418,305,126,486,10.3,5,14.2
Nebraska,5138,4337,5936,749,310,1187,14.6,7.1,20
Nevada,8400,7090,9704,1472,614,2319,17.5,8.7,23.9
New Hampshire,3901,3292,4506,360,147,579,9.2,4.5,12.8
New Jersey,25345,21392,29279,3535,1468,5583,13.9,6.9,19.1
New Mexico,5705,4815,6591,788,326,1247,13.8,6.8,18.9
New York,56000,47266,64693,6886,2879,10824,12.3,6.1,16.7
North Carolina,28386,23959,32793,2543,1033,4085,9,4.3,12.5
North Dakota,2075,1751,2397,328,137,516,15.8,7.8,21.5
Ohio,32050,27051,37025,4687,1935,7434,14.6,7.2,20.1
Oklahoma,10480,8845,12106,1260,519,2004,12,5.9,16.6
Oregon,11733,9903,13554,1340,549,2136,11.4,5.5,15.8
Pennsylvania,36039,30418,41633,4232,1734,6751,11.7,5.7,16.2
Rhode Island,3090,2608,3569,421,174,666,13.6,6.7,18.7
South Carolina,13974,11794,16143,1140,462,1835,8.2,3.9,11.4
South Dakota,2330,1966,2691,349,146,549,15,7.4,20.4
Tennessee,18742,15819,21652,2006,819,3210,10.7,5.2,14.8
Texas,76114,64243,87929,12363,5151,19476,16.2,8,22.1
Utah,8090,6828,9345,1130,466,1794,14,6.8,19.2
Vermont,1826,1541,2109,159,64,255,8.7,4.2,12.1
Virginia,23478,19816,27123,2619,1072,4181,11.2,5.4,15.4
Washington,20971,17700,24226,2338,957,3735,11.1,5.4,15.4
West Virginia,4988,4210,5762,404,163,649,8.1,3.9,11.3
Wisconsin,16054,13551,18547,2190,903,3477,13.6,6.7,18.7
Wyoming,1536,1297,1775,179,74,285,11.7,5.7,16.1
