GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
33009960700,2020,"Census Tract 9607, Grafton County, New Hampshire",Census Tract 9607,Grafton County,New Hampshire,7.118418697
33009961500,2020,"Census Tract 9615, Grafton County, New Hampshire",Census Tract 9615,Grafton County,New Hampshire,6.387673939
33009960200,2020,"Census Tract 9602, Grafton County, New Hampshire",Census Tract 9602,Grafton County,New Hampshire,6.81409855
33009960500,2020,"Census Tract 9605, Grafton County, New Hampshire",Census Tract 9605,Grafton County,New Hampshire,6.865513079
33009961400,2020,"Census Tract 9614, Grafton County, New Hampshire",Census Tract 9614,Grafton County,New Hampshire,5.121531389
33009960600,2020,"Census Tract 9606, Grafton County, New Hampshire",Census Tract 9606,Grafton County,New Hampshire,8.179438497
33013032400,2020,"Census Tract 324, Merrimack County, New Hampshire",Census Tract 324,Merrimack County,New Hampshire,17.33653262
33013032800,2020,"Census Tract 328, Merrimack County, New Hampshire",Census Tract 328,Merrimack County,New Hampshire,8.62884328
33013033000,2020,"Census Tract 330, Merrimack County, New Hampshire",Census Tract 330,Merrimack County,New Hampshire,6.097801925
33013034000,2020,"Census Tract 340, Merrimack County, New Hampshire",Census Tract 340,Merrimack County,New Hampshire,6.169351126
33013035000,2020,"Census Tract 350, Merrimack County, New Hampshire",Census Tract 350,Merrimack County,New Hampshire,6.187008591
33013036000,2020,"Census Tract 360, Merrimack County, New Hampshire",Census Tract 360,Merrimack County,New Hampshire,5.907705583
33001966401,2020,"Census Tract 9664.01, Belknap County, New Hampshire",Census Tract 9664.01,Belknap County,New Hampshire,15.35583765
33015061001,2020,"Census Tract 610.01, Rockingham County, New Hampshire",Census Tract 610.01,Rockingham County,New Hampshire,8.396228057
33015062500,2020,"Census Tract 625, Rockingham County, New Hampshire",Census Tract 625,Rockingham County,New Hampshire,10.40460394
33015066000,2020,"Census Tract 660, Rockingham County, New Hampshire",Census Tract 660,Rockingham County,New Hampshire,8.726502826
33015067000,2020,"Census Tract 670, Rockingham County, New Hampshire",Census Tract 670,Rockingham County,New Hampshire,8.081348961
33015069100,2020,"Census Tract 691, Rockingham County, New Hampshire",Census Tract 691,Rockingham County,New Hampshire,14.93293876
33015069200,2020,"Census Tract 692, Rockingham County, New Hampshire",Census Tract 692,Rockingham County,New Hampshire,14.74102681
33015056000,2020,"Census Tract 560, Rockingham County, New Hampshire",Census Tract 560,Rockingham County,New Hampshire,5.31586219
33015055002,2020,"Census Tract 550.02, Rockingham County, New Hampshire",Census Tract 550.02,Rockingham County,New Hampshire,8.667626623
33015064000,2020,"Census Tract 640, Rockingham County, New Hampshire",Census Tract 640,Rockingham County,New Hampshire,10.32890428
33015106102,2020,"Census Tract 1061.02, Rockingham County, New Hampshire",Census Tract 1061.02,Rockingham County,New Hampshire,9.50178918
33015003301,2020,"Census Tract 33.01, Rockingham County, New Hampshire",Census Tract 33.01,Rockingham County,New Hampshire,9.394743493
33015003602,2020,"Census Tract 36.02, Rockingham County, New Hampshire",Census Tract 36.02,Rockingham County,New Hampshire,9.00955506
33015051000,2020,"Census Tract 510, Rockingham County, New Hampshire",Census Tract 510,Rockingham County,New Hampshire,7.780742404
33015003500,2020,"Census Tract 35, Rockingham County, New Hampshire",Census Tract 35,Rockingham County,New Hampshire,14.31400236
33015106101,2020,"Census Tract 1061.01, Rockingham County, New Hampshire",Census Tract 1061.01,Rockingham County,New Hampshire,10.11085509
33015003302,2020,"Census Tract 33.02, Rockingham County, New Hampshire",Census Tract 33.02,Rockingham County,New Hampshire,10.95736645
33015055001,2020,"Census Tract 550.01, Rockingham County, New Hampshire",Census Tract 550.01,Rockingham County,New Hampshire,7.979591293
33015062000,2020,"Census Tract 620, Rockingham County, New Hampshire",Census Tract 620,Rockingham County,New Hampshire,11.01386766
33015100200,2020,"Census Tract 1002, Rockingham County, New Hampshire",Census Tract 1002,Rockingham County,New Hampshire,14.43164793
33015003400,2020,"Census Tract 34, Rockingham County, New Hampshire",Census Tract 34,Rockingham County,New Hampshire,14.93163684
33015003601,2020,"Census Tract 36.01, Rockingham County, New Hampshire",Census Tract 36.01,Rockingham County,New Hampshire,11.10316164
33015004000,2020,"Census Tract 40, Rockingham County, New Hampshire",Census Tract 40,Rockingham County,New Hampshire,7.461277878
33015050000,2020,"Census Tract 500, Rockingham County, New Hampshire",Census Tract 500,Rockingham County,New Hampshire,6.361506111
33015052000,2020,"Census Tract 520, Rockingham County, New Hampshire",Census Tract 520,Rockingham County,New Hampshire,7.082074279
33015067502,2020,"Census Tract 675.02, Rockingham County, New Hampshire",Census Tract 675.02,Rockingham County,New Hampshire,7.306163972
33019975800,2020,"Census Tract 9758, Sullivan County, New Hampshire",Census Tract 9758,Sullivan County,New Hampshire,9.041019412
33019975901,2020,"Census Tract 9759.01, Sullivan County, New Hampshire",Census Tract 9759.01,Sullivan County,New Hampshire,6.333565046
33015053000,2020,"Census Tract 530, Rockingham County, New Hampshire",Census Tract 530,Rockingham County,New Hampshire,8.416876574
33015054000,2020,"Census Tract 540, Rockingham County, New Hampshire",Census Tract 540,Rockingham County,New Hampshire,8.399271619
33015057000,2020,"Census Tract 570, Rockingham County, New Hampshire",Census Tract 570,Rockingham County,New Hampshire,5.942434147
33015058000,2020,"Census Tract 580, Rockingham County, New Hampshire",Census Tract 580,Rockingham County,New Hampshire,5.002727721
33015059000,2020,"Census Tract 590, Rockingham County, New Hampshire",Census Tract 590,Rockingham County,New Hampshire,7.76534317
