GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
11001004001,2020,"Census Tract 40.01, District of Columbia, District of Columbia",Census Tract 40.01,District of Columbia,District of Columbia,23.1608733
11001003600,2020,"Census Tract 36, District of Columbia, District of Columbia",Census Tract 36,District of Columbia,District of Columbia,23.1608733
11001006801,2020,"Census Tract 68.01, District of Columbia, District of Columbia",Census Tract 68.01,District of Columbia,District of Columbia,20.13989014
11001010700,2020,"Census Tract 107, District of Columbia, District of Columbia",Census Tract 107,District of Columbia,District of Columbia,26.68535246
11001009604,2020,"Census Tract 96.04, District of Columbia, District of Columbia",Census Tract 96.04,District of Columbia,District of Columbia,18.12590076
11001000300,2020,"Census Tract 3, District of Columbia, District of Columbia",Census Tract 3,District of Columbia,District of Columbia,19.67919622
11001000400,2020,"Census Tract 4, District of Columbia, District of Columbia",Census Tract 4,District of Columbia,District of Columbia,18.5859071
11001000502,2020,"Census Tract 5.02, District of Columbia, District of Columbia",Census Tract 5.02,District of Columbia,District of Columbia,19.13255211
11001004600,2020,"Census Tract 46, District of Columbia, District of Columbia",Census Tract 46,District of Columbia,District of Columbia,22.15387772
11001004902,2020,"Census Tract 49.02, District of Columbia, District of Columbia",Census Tract 49.02,District of Columbia,District of Columbia,31.21682899
11001007401,2020,"Census Tract 74.01, District of Columbia, District of Columbia",Census Tract 74.01,District of Columbia,District of Columbia,25.17486088
11001009804,2020,"Census Tract 98.04, District of Columbia, District of Columbia",Census Tract 98.04,District of Columbia,District of Columbia,15.32293518
11001001702,2020,"Census Tract 17.02, District of Columbia, District of Columbia",Census Tract 17.02,District of Columbia,District of Columbia,17.38374454
11001010300,2020,"Census Tract 103, District of Columbia, District of Columbia",Census Tract 103,District of Columbia,District of Columbia,18.54266037
11001001804,2020,"Census Tract 18.04, District of Columbia, District of Columbia",Census Tract 18.04,District of Columbia,District of Columbia,18.54266037
11001001901,2020,"Census Tract 19.01, District of Columbia, District of Columbia",Census Tract 19.01,District of Columbia,District of Columbia,18.54266037
11001001902,2020,"Census Tract 19.02, District of Columbia, District of Columbia",Census Tract 19.02,District of Columbia,District of Columbia,18.54266037
11001005001,2020,"Census Tract 50.01, District of Columbia, District of Columbia",Census Tract 50.01,District of Columbia,District of Columbia,23.1608733
11001009807,2020,"Census Tract 98.07, District of Columbia, District of Columbia",Census Tract 98.07,District of Columbia,District of Columbia,15.32293518
11001009803,2020,"Census Tract 98.03, District of Columbia, District of Columbia",Census Tract 98.03,District of Columbia,District of Columbia,15.32293518
11001002002,2020,"Census Tract 20.02, District of Columbia, District of Columbia",Census Tract 20.02,District of Columbia,District of Columbia,17.38374454
11001002101,2020,"Census Tract 21.01, District of Columbia, District of Columbia",Census Tract 21.01,District of Columbia,District of Columbia,19.70157619
11001003200,2020,"Census Tract 32, District of Columbia, District of Columbia",Census Tract 32,District of Columbia,District of Columbia,24.16786709
11001003500,2020,"Census Tract 35, District of Columbia, District of Columbia",Census Tract 35,District of Columbia,District of Columbia,24.16786709
11001000600,2020,"Census Tract 6, District of Columbia, District of Columbia",Census Tract 6,District of Columbia,District of Columbia,16.39933064
11001007404,2020,"Census Tract 74.04, District of Columbia, District of Columbia",Census Tract 74.04,District of Columbia,District of Columbia,16.85566957
11001007301,2020,"Census Tract 73.01, District of Columbia, District of Columbia",Census Tract 73.01,District of Columbia,District of Columbia,17.1839205
11001002702,2020,"Census Tract 27.02, District of Columbia, District of Columbia",Census Tract 27.02,District of Columbia,District of Columbia,20.13989014
11001001600,2020,"Census Tract 16, District of Columbia, District of Columbia",Census Tract 16,District of Columbia,District of Columbia,15.52947851
11001010500,2020,"Census Tract 105, District of Columbia, District of Columbia",Census Tract 105,District of Columbia,District of Columbia,26.18185646
11001003000,2020,"Census Tract 30, District of Columbia, District of Columbia",Census Tract 30,District of Columbia,District of Columbia,21.14688393
11001007502,2020,"Census Tract 75.02, District of Columbia, District of Columbia",Census Tract 75.02,District of Columbia,District of Columbia,16.11191139
11001007503,2020,"Census Tract 75.03, District of Columbia, District of Columbia",Census Tract 75.03,District of Columbia,District of Columbia,18.12590076
11001000902,2020,"Census Tract 9.02, District of Columbia, District of Columbia",Census Tract 9.02,District of Columbia,District of Columbia,14.57718239
11001001500,2020,"Census Tract 15, District of Columbia, District of Columbia",Census Tract 15,District of Columbia,District of Columbia,14.50966353
11001000501,2020,"Census Tract 5.01, District of Columbia, District of Columbia",Census Tract 5.01,District of Columbia,District of Columbia,19.49233938
11001009602,2020,"Census Tract 96.02, District of Columbia, District of Columbia",Census Tract 96.02,District of Columbia,District of Columbia,17.25006893
11001000802,2020,"Census Tract 8.02, District of Columbia, District of Columbia",Census Tract 8.02,District of Columbia,District of Columbia,18.5859071
11001001301,2020,"Census Tract 13.01, District of Columbia, District of Columbia",Census Tract 13.01,District of Columbia,District of Columbia,14.79811045
11001002001,2020,"Census Tract 20.01, District of Columbia, District of Columbia",Census Tract 20.01,District of Columbia,District of Columbia,16.22482872
11001007708,2020,"Census Tract 77.08, District of Columbia, District of Columbia",Census Tract 77.08,District of Columbia,District of Columbia,19.13289545
11001001402,2020,"Census Tract 14.02, District of Columbia, District of Columbia",Census Tract 14.02,District of Columbia,District of Columbia,15.79222698
11001007601,2020,"Census Tract 76.01, District of Columbia, District of Columbia",Census Tract 76.01,District of Columbia,District of Columbia,22.48954231
11001007504,2020,"Census Tract 75.04, District of Columbia, District of Columbia",Census Tract 75.04,District of Columbia,District of Columbia,17.11890518
11001009902,2020,"Census Tract 99.02, District of Columbia, District of Columbia",Census Tract 99.02,District of Columbia,District of Columbia,18.18301922
11001002600,2020,"Census Tract 26, District of Columbia, District of Columbia",Census Tract 26,District of Columbia,District of Columbia,16.14014072
11001009601,2020,"Census Tract 96.01, District of Columbia, District of Columbia",Census Tract 96.01,District of Columbia,District of Columbia,17.5769187
11001000202,2020,"Census Tract 2.02, District of Columbia, District of Columbia",Census Tract 2.02,District of Columbia,District of Columbia,24.59899506
11001006804,2020,"Census Tract 68.04, District of Columbia, District of Columbia",Census Tract 68.04,District of Columbia,District of Columbia,18.88114611
11001010100,2020,"Census Tract 101, District of Columbia, District of Columbia",Census Tract 101,District of Columbia,District of Columbia,27.18885025
11001004901,2020,"Census Tract 49.01, District of Columbia, District of Columbia",Census Tract 49.01,District of Columbia,District of Columbia,27.18885025
11001005900,2020,"Census Tract 59, District of Columbia, District of Columbia",Census Tract 59,District of Columbia,District of Columbia,30.20983521
11001009901,2020,"Census Tract 99.01, District of Columbia, District of Columbia",Census Tract 99.01,District of Columbia,District of Columbia,14.09792202
11001007901,2020,"Census Tract 79.01, District of Columbia, District of Columbia",Census Tract 79.01,District of Columbia,District of Columbia,20.13989014
11001001803,2020,"Census Tract 18.03, District of Columbia, District of Columbia",Census Tract 18.03,District of Columbia,District of Columbia,16.22482872
11001007406,2020,"Census Tract 74.06, District of Columbia, District of Columbia",Census Tract 74.06,District of Columbia,District of Columbia,19.13289455
11001003301,2020,"Census Tract 33.01, District of Columbia, District of Columbia",Census Tract 33.01,District of Columbia,District of Columbia,21.14688393
11001007604,2020,"Census Tract 76.04, District of Columbia, District of Columbia",Census Tract 76.04,District of Columbia,District of Columbia,16.11191139
11001007603,2020,"Census Tract 76.03, District of Columbia, District of Columbia",Census Tract 76.03,District of Columbia,District of Columbia,17.11890608
11001008302,2020,"Census Tract 83.02, District of Columbia, District of Columbia",Census Tract 83.02,District of Columbia,District of Columbia,25.17486088
11001008701,2020,"Census Tract 87.01, District of Columbia, District of Columbia",Census Tract 87.01,District of Columbia,District of Columbia,22.15387772
11001008702,2020,"Census Tract 87.02, District of Columbia, District of Columbia",Census Tract 87.02,District of Columbia,District of Columbia,20.13989014
11001007703,2020,"Census Tract 77.03, District of Columbia, District of Columbia",Census Tract 77.03,District of Columbia,District of Columbia,18.18301922
11001007707,2020,"Census Tract 77.07, District of Columbia, District of Columbia",Census Tract 77.07,District of Columbia,District of Columbia,18.78911974
11001007709,2020,"Census Tract 77.09, District of Columbia, District of Columbia",Census Tract 77.09,District of Columbia,District of Columbia,18.12590076
11001007803,2020,"Census Tract 78.03, District of Columbia, District of Columbia",Census Tract 78.03,District of Columbia,District of Columbia,19.39522026
11001007804,2020,"Census Tract 78.04, District of Columbia, District of Columbia",Census Tract 78.04,District of Columbia,District of Columbia,18.18301922
11001008803,2020,"Census Tract 88.03, District of Columbia, District of Columbia",Census Tract 88.03,District of Columbia,District of Columbia,21.14688393
